Source,Target,Weight
1903007601020143,50530760810157,2651
7021023038089,402409901040126,8058
110220610810267,160530670790121,3715
10015010201030412,7608909802220254,2593
501602401170236,70320620840157,6098
110530580810115,62076011401190157,1219
1102908501220267,3106108101330157,12320
4023032043067,60580640670103,10868
1506207501150412,190240510610267,5704
170320610670412,64084010201040117,5635
2202508401070412,1002308901570222,11970
360450510640117,28099011201570236,4004
130150280400103,1070670800122,7225
90290370890157,4031035063075,-6349
120170690770222,6407908301190412,5631
6407709001190267,240440510760121,9194
25062010201190127,11013044051076,2821
51053055075077,5606406902220412,1867
130250350640236,10190390510103,8765
50160230790236,600104011501260412,4873
170530790800133,51067011401570267,12025
1103209901170119,510530580640103,3364
5010016043051,10270530770222,2494
5107608001260267,50360670840412,-1165
180350530760157,110170550980110,2687
1103808101140412,510550640760157,5184
220390770810267,2205305501070121,629
207709101430222,5055023602660412,-1705
1023032064082,1010011022084,-2508
702908301060107,1306708901060412,-59
640105011701220236,160220580820102,887
160290790920238,220280380890106,6574
9098010301610222,101301901040105,7137
1105307601020133,508909901040114,-644
53067010202360254,70100110370222,8521
240600760890236,19053061081098,5076
30400420750102,25039051055056,840
25029036043080,50160180580117,4993
240480760890104,1002706401340236,300
7018019053058,2504806401040134,4236
1207709201340236,20025029041081,-5701
11086010302360412,24089012201270222,-3009
220350750760115,70903602220267,2849
1202405301030133,2059012702220238,-1757
5022053061075,210240640990161,8592
2707608101020412,10809901070119,1291
220510620770103,9022025048064,2468
190670760890222,4308008602220254,-666
110170550630222,330103012601570412,-857
70230590670161,3705906101190157,4866
240540740770119,6007608402220236,-646
10050015702220267,7015023024076,1238
1902402501030236,40290640750412,-1259
507013015053,240250480770112,2219
290580640740412,1601706001190157,-3698
230250480670131,12024011701210222,3956
290360570840134,21037062074075,9618
180350860990143,9039042061089,3616
25051064076082,430610810920121,4006
170230530640103,405027044081,8437
2504805101020115,560750840890222,2548
19022010501210412,30042056068089,8933
22024043053060,1207708601040134,-957
21086010502540412,5605808901040127,585
202302602220267,160290560980134,2307
190220240430105,100160200670412,3265
310430510600117,440760770810115,2209
7011039051053,300350760810126,5083
1908909001140222,110180580610412,-1550
290340350440266,5105909201010267,7344
170320530990104,70100180240412,3801
160350400540161,110290390530157,1860
160310770820104,25039011701310222,45
36084011701210133,7056011702220412,3351
1101607502360238,240610620670267,8417
58064013402360412,160250280750110,8342
50420910920143,21053054064099,4110
100190230530104,1020115012102360412,10353
10190220540267,7089010701100114,5206
25026011501340236,29076025402660267,-529
59081011101170161,1102105401610412,3818
10040010201040157,4806407601050157,3138
770117015702360412,105067075099,661
12064012102220254,10024055062081,7044
6709109202540412,70270370560222,3181
150160450920102,5105409202380412,-6518
2505105801050120,860117012002360412,3373
250480510640134,40240430810107,1446
390115012102220267,250580620670134,7656
58064015702360412,70210860890117,6669
530540670990114,67076010202540412,5798
190400550920236,76089011401220133,4529
370560580670161,40620750760236,3163
14018019091099,240250430620236,4776
4011042043058,640101011001570267,3099
110230890910110,6407709101170236,5290
130190510790238,36063010202220412,3700
2305307401050222,1019010201570236,-3022
80110180910412,100430820980236,3184
240290310610154,11055064067083,5702
8909109202220238,1013067072075,11338
40160510580106,706407901210222,9875
100670760840119,6007608901040238,6278
290560640890131,10019023025045,10762
2504106701260412,50510610920106,-955
140210430890131,500640860990222,7135
802104401570254,100110240510111,716
2106407601060114,5508309902360254,5402
10024012101610222,190410420890238,4289
2403908901030119,6807708101570267,4624
18062010602380267,320510550800412,4945
801102501050110,430480920990104,2217
1053058059081,16019056076096,-1411
340450600810107,400450620770119,8428
50180190890101,290640820890101,3237
11023025067099,4043054067075,9355
33051076089090,160440760770222,5344
360370420560105,10670920990114,7443
170440540860222,120560690750236,5539
100220250770134,760790800890236,-1384
100160760810121,2404306801050236,-2996
705307501020236,510670810890121,1829
2405606701340412,2907707801570412,5088
1001101602360412,240420640890121,742
15020032075076,2203606101060238,3849
2105305801050121,1305506701070412,224
210640760920122,70170370670254,-542
5107709801170412,1001802401030222,6801
15043064077090,7090130920119,4783
18020048050053,17032053069081,707
1102508002220412,180340510920122,1830
160410510690254,1906106701570161,8996
56061010202360412,31081013101430157,2483
2407408901100254,4007609101050236,-3249
130250510560126,1507708001030412,5956
56062012702360412,90620840890119,9005
105305801020104,10011025029056,480
40507045054,5055012602360412,4789
1605908601050236,25029035055075,4839
803205102380267,5007608901100121,6467
30230510580412,709018024033,10961
5089010501220236,4007708101260157,3833
1905809902220267,17075011701610236,1323
160420920990120,240250310610222,17198
1002507701100412,1305106201170157,8686
170310760770157,590115012102360412,4798
23089010201150222,150390450770412,1728
2503507602360266,430630770920222,7282
290320480890117,16018023059091,4961
120190510620412,300410840890111,3635
101902501260236,70160750770104,3863
4050900920119,11024011702360267,-505
13019025062067,20430640840236,6568
701603601210236,120154022202380267,3672
13062010701190412,18068010501210222,7620
7033044058067,80092011901210267,9927
280104011701570412,510580610890254,6593
4805306701570254,120610810890157,-2682
13024025043081,701704201130412,-377
2403808101170121,110640690810236,1637
240250640810115,1020103012102360412,2435
801107601330412,70160240640236,4714
1104304802220412,180240560800117,3738
1101608101140117,590670840850412,8719
620630750760222,350370510860157,3224
1050300580236,902402501060222,-2639
401006701070412,2402506001610222,4239
250106022202540412,1205606201120236,2211
58059067076089,703703901020236,1805
190250320890222,307080770236,-1740
510105011301260267,760107022202540412,9397
250620670800115,51089010301200121,4435
1907508901040117,24056015702220412,12507
2302505801050110,1013020029076,8077
16019029055083,20021050064089,-896
1301604301060222,1102406201270133,16200
102903501310157,708109801200267,10321
630670760920102,62064011002380267,1548
70510640750412,11025036042089,4436
3705806401040115,5015026062089,3418
10560750890236,140510580620412,9189
220320800890105,2083011701340236,4132
620790800840222,220580770890103,1534
180770810890107,1015048075076,7960
107024056081,1802503101210134,355
1104809901340222,701101501170266,8348
2502906001330238,1002207701020117,7195
1907508402360412,1602403101040157,5483
2303705101200412,5081084089092,4940
1001705301330157,6206908102660412,6512
150370760850254,2403205101430412,7855
8010016021025,850134015702360254,-764
11016039076081,18043050064068,7274
4206307501070117,4067079089098,3329
1105405801030236,48077010502220412,9345
390134022202380412,1704805901040157,3313
1102405501110222,13017011701210133,-2895
910126015702220254,240111011901200134,1413
210290790890238,703908902360267,9752
19024025029099,23038051059089,-1741
4050210640412,290440580630236,7950
90240890990236,180410600800412,6544
540640810890238,70240370770236,12914
70510770840267,32062010501190412,6508
4018025062086,9029044059085,5150
402405101050121,43061067080083,968
70510640890412,501702501340236,2831
120103012101270236,7056012602220412,4793
7010019053067,1602306201050236,4701
10100320920236,5021025063064,257
1040240750133,6106206701020117,-2373
2402805101050412,130180370540157,3698
2106206801170157,280510550580412,3873
10450590860236,130640790910104,-2353
3205806101170222,2406009102360412,3383
405029051064,802304301340236,8414
250600610920236,5106207701030412,9217
1806207501570412,2506106401260236,-2767
2405608001050238,180250290640105,65
70170640890104,4020053054081,2444
2504805401070222,33041051076084,3867
11024029055089,19086011901570412,7859
90390690890222,1807709901570238,3600
10016023037081,28048011001120126,6432
6107708601570236,702503601020119,19077
50240690810267,4011043067082,8486
13018059067089,54077015702360412,3244
901703202360412,190250350510238,12982
17060011502360267,40150280750412,12135
2503508102660412,1705106401070238,4382
67076012601340412,53081011401210157,-827
290380430640114,280510610760238,2323
80400450810111,702905802360238,-521
2502805101070238,50902901050267,872
2405607602360412,250510620770114,3211
3205307601210222,4805407501570236,-1356
70310330810412,25081010301210254,3853
2504806301100111,70150800920157,-142
204048067075,1060430750254,-1149
110240370510412,430560810890157,819
25048011501210236,5105806401030117,5277
5505909202360412,10011010201040267,1710
11040067078099,890102010401140117,5002
240450640810143,5807708901150222,6033
90270510850121,1903905002360412,6739
11069011101170119,1502504801210134,-3797
16067010301210133,130240340810238,-4620
1024061067077,25092011901310157,2746
110590690810134,4506406801170222,4634
25064011301210222,17082011101340222,9506
380590680890236,4406106401020104,2273
1706107501570222,1103603701570222,12299
250300480740117,7019037051058,-5211
110180260990102,80120290550157,4124
21035053062080,10540600760222,171
250620750760222,4024043051064,-1629
370102011901610254,10230900960254,11787
350580810890105,16021022023064,5382
20064011901260143,42045053054092,1871
510580640760157,320640810860157,4425
220750770910117,1301902201010412,1425
190510630770412,13089011101330157,6555
501208001150236,13053059067084,3597
32064011501190161,19055011001140134,3853
16019039045081,40050051067092,4073
13018053064091,290510610920117,8602
160560610890104,2305407602220238,5481
100180240890102,28029050058063,10362
10029012101220143,11013051074082,4162
7019021036061,604004501070143,7340
